id,oracle_hand
1,0
2,0
3,2
4,3
5,0
6,2
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,4
46,0
47,1
48,2
49,1
50,0
51,1
52,1
53,0
54,1
55,1
56,3
57,0
58,0
59,3
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,1
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,1
97,0
98,1
99,1
100,0
101,1
102,0
103,1
104,1
105,2
106,5
107,1
108,0
109,1
110,1
111,0
112,1
113,0
114,1
115,0
116,0
117,0
118,0
119,1
120,0
121,1
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,1
130,1
131,0
132,1
133,0
134,1
135,1
136,0
137,0
138,1
139,0
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,2
150,1
151,0
152,1
153,0
154,0
155,1
156,1
157,0
158,0
159,2
160,0
161,6
162,2
163,1
164,0
165,1
166,1
167,0
168,1
169,0
170,0
171,0
172,1
173,1
174,1
175,1
176,0
177,0
178,0
179,1
180,1
181,2
182,0
183,0
184,3
185,0
186,0
187,0
188,0
189,1
190,2
191,0
192,1
193,1
194,0
195,0
196,1
197,0
198,1
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,0
207,1
208,0
209,2
210,0
211,1
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,4
220,1
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,3
245,1
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,1
254,1
255,0
256,0
257,0
258,1
259,1
260,1
261,1
262,0
263,1
264,2
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,1
273,0
274,2
275,0
276,1
277,1
278,1
279,1
280,0
281,0
282,0
283,1
284,0
285,1
286,0
287,0
288,0
289,2
290,1
291,1
292,0
293,1
294,1
295,0
296,0
297,0
298,1
299,1
300,0
301,0
302,0
303,1
304,1
305,1
306,2
307,1
308,0
309,1
310,0
311,1
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,4
320,0
321,1
322,1
323,1
324,0
325,0
326,0
327,0
328,0
329,1
330,1
331,1
332,0
333,1
334,0
335,0
336,1
337,0
338,1
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,2
353,0
354,1
355,1
356,1
357,1
358,2
359,0
360,1
361,3
362,0
363,1
364,0
365,0
366,0
367,2
368,0
369,0
370,2
371,1
372,2
